qa_id,source,path,category,question,A,B,C,D,answer,subject_id
training_1188,HAU,HAU/user9/6-2-1,multi,Which of the following actions appear in this video?,Taking a selfie,Washing face,Playing games,Taking medicine,ACD,user9
training_1189,HAU,HAU/user9/6-2-2,multi,Which of the following actions appear in this video?,Standing up,Getting dressed,Eating,Lying down,D,user9
training_1190,HAU,HAU/user9/6-2-3,multi,Which of the following actions appear in this video?,Lying down,Washing face,Stirring,Brushing teeth,A,user9
training_1191,HAU,HAU/user9/7-1-1,multi,Which of the following actions appear in this video?,Calling,Taking medicine,Sweeping,Massaging oneself,BD,user9
training_1192,HAU,HAU/user9/7-1-2,multi,Which of the following actions appear in this video?,Massaging oneself,Typing on a keyboard,Peeling fruit,Checking body temperature,AD,user9
training_1193,HAU,HAU/user9/7-1-3,multi,Which of the following actions appear in this video?,Taking medicine,Typing on a keyboard,Sweeping,Massaging oneself,AD,user9
training_1194,HAU,HAU/user9/7-2-1,multi,Which of the following actions appear in this video?,Drinking,Mopping,Playing games,Walking,ABD,user9
training_1195,HAU,HAU/user9/7-2-2,multi,Which of the following actions appear in this video?,Sitting down,Lying down,Drinking,Stirring,CD,user9
training_1196,HAU,HAU/user9/7-2-3,multi,Which of the following actions appear in this video?,Checking the time,Standing up,Wiping surface,Turning a page,C,user9
training_1197,HAU,HAU/user16/1-1-1,multi,Which of the following actions appear in this video?,Walking,Watching TV,Washing face,Getting dressed,AC,user16
training_1198,HAU,HAU/user16/1-1-2,multi,Which of the following actions appear in this video?,Walking,Washing face,Stretching,Brushing teeth,ABD,user16
training_1199,HAU,HAU/user16/1-1-3,multi,Which of the following actions appear in this video?,Walking,Brushing teeth,Pouring,Washing dishes,AB,user16
training_1200,HAU,HAU/user16/1-2-1,multi,Which of the following actions appear in this video?,Pouring,Eating,Stirring,Reading,ABC,user16
training_1201,HAU,HAU/user16/1-2-2,multi,Which of the following actions appear in this video?,Wiping surface,Eating,Playing games,Pouring,BD,user16
training_1202,HAU,HAU/user16/1-2-3,multi,Which of the following actions appear in this video?,Squats,Pouring,Wiping surface,Jumping jacks,B,user16
training_1203,HAU,HAU/user16/2-1-1,multi,Which of the following actions appear in this video?,Grabbing utensils,Pouring,Stirring,Taking a selfie,ABC,user16
training_1204,HAU,HAU/user16/2-1-2,multi,Which of the following actions appear in this video?,Grabbing utensils,Stirring,Folding clothes,Pouring,ABD,user16
training_1205,HAU,HAU/user16/2-1-3,multi,Which of the following actions appear in this video?,Grabbing utensils,Running,Lunges,Using a phone,A,user16
training_1206,HAU,HAU/user16/2-2-1,multi,Which of the following actions appear in this video?,Turning a page,Combing hair,Mopping,Listening to the music with headphones,B,user16
training_1207,HAU,HAU/user16/2-2-2,multi,Which of the following actions appear in this video?,Jumping jacks,Combing hair,Getting dressed,Wiping hands,BD,user16
training_1208,HAU,HAU/user16/2-2-3,multi,Which of the following actions appear in this video?,Squats,Wiping hands,Grabbing utensils,Peeling fruit,B,user16
training_1209,HAU,HAU/user16/2-3-1,multi,Which of the following actions appear in this video?,Listening to the music with headphones,Grabbing utensils,Lunges,Getting dressed,B,user16
training_1210,HAU,HAU/user16/2-3-2,multi,Which of the following actions appear in this video?,Standing up,Grabbing utensils,Stretching,Walking,BD,user16
training_1211,HAU,HAU/user16/2-3-3,multi,Which of the following actions appear in this video?,Turning a page,Mopping,Grabbing utensils,Folding clothes,C,user16
training_1212,HAU,HAU/user16/3-1-1,multi,Which of the following actions appear in this video?,Sweeping,Walking,Mopping,Folding clothes,ABC,user16
training_1213,HAU,HAU/user16/3-1-2,multi,Which of the following actions appear in this video?,Standing up,Taking medicine,Pouring,Grabbing utensils,A,user16
training_1214,HAU,HAU/user16/3-1-3,multi,Which of the following actions appear in this video?,Squats,Sweeping,Walking,Checking the time,ABC,user16
training_1215,HAU,HAU/user16/3-2-1,multi,Which of the following actions appear in this video?,Drinking,Combing hair,Washing dishes,Peeling fruit,ACD,user16
training_1216,HAU,HAU/user16/3-2-2,multi,Which of the following actions appear in this video?,Sitting down,Drinking,Massaging oneself,Getting dressed,B,user16
training_1217,HAU,HAU/user16/3-2-3,multi,Which of the following actions appear in this video?,Peeling fruit,Washing face,Playing games,Watching TV,A,user16
training_1218,HAU,HAU/user16/3-3-1,multi,Which of the following actions appear in this video?,Walking,Sweeping,Typing on a keyboard,Turning a page,A,user16
training_1219,HAU,HAU/user16/3-3-2,multi,Which of the following actions appear in this video?,Sitting down,Brushing teeth,Wiping surface,Jumping jacks,C,user16
training_1220,HAU,HAU/user16/3-3-3,multi,Which of the following actions appear in this video?,Walking,Mopping,Drinking,Watching TV,A,user16
training_1221,HAU,HAU/user16/4-1-1,multi,Which of the following actions appear in this video?,Calling,Washing dishes,Standing up,Listening to the music with headphones,ACD,user16
training_1222,HAU,HAU/user16/4-1-2,multi,Which of the following actions appear in this video?,Listening to the music with headphones,Typing on a keyboard,Pouring,Calling,ABD,user16
training_1223,HAU,HAU/user16/4-1-3,multi,Which of the following actions appear in this video?,Listening to the music with headphones,Sweeping,Sitting down,Lying down,AC,user16
training_1224,HAU,HAU/user16/5-1-1,multi,Which of the following actions appear in this video?,Using a phone,Sitting down,Checking body temperature,Listening to the music with headphones,ABD,user16
training_1225,HAU,HAU/user16/5-1-2,multi,Which of the following actions appear in this video?,Washing face,Drinking,Brushing teeth,Listening to the music with headphones,D,user16
training_1226,HAU,HAU/user16/5-1-3,multi,Which of the following actions appear in this video?,Massaging oneself,Playing games,Using a phone,Lying down,C,user16
training_1227,HAU,HAU/user16/5-2-1,multi,Which of the following actions appear in this video?,Sitting down,Jumping jacks,Eating,Walking,CD,user16
training_1228,HAU,HAU/user16/5-2-2,multi,Which of the following actions appear in this video?,Mopping,Peeling fruit,Walking,Eating,BCD,user16
training_1229,HAU,HAU/user16/5-2-3,multi,Which of the following actions appear in this video?,Taking medicine,Brushing teeth,Walking,Eating,CD,user16
training_1230,HAU,HAU/user16/5-3-1,multi,Which of the following actions appear in this video?,Checking body temperature,Playing games,Mopping,Reading,B,user16
training_1231,HAU,HAU/user16/5-3-2,multi,Which of the following actions appear in this video?,Jumping jacks,Walking,Drinking,Grabbing utensils,BCD,user16
training_1232,HAU,HAU/user16/5-3-3,multi,Which of the following actions appear in this video?,Playing games,Washing face,Grabbing utensils,Brushing teeth,AC,user16
training_1233,HAU,HAU/user16/6-1-1,multi,Which of the following actions appear in this video?,Walking,Jumping jacks,Wiping hands,Combing hair,AB,user16
training_1234,HAU,HAU/user16/6-1-2,multi,Which of the following actions appear in this video?,Jumping jacks,Brushing teeth,Lunges,Walking,ACD,user16
training_1235,HAU,HAU/user16/6-1-3,multi,Which of the following actions appear in this video?,Jumping jacks,Lying down,Lunges,Listening to the music with headphones,ABC,user16
training_1236,HAU,HAU/user16/6-2-1,multi,Which of the following actions appear in this video?,Lunges,Wiping surface,Taking medicine,Calling,BC,user16
training_1237,HAU,HAU/user16/6-2-2,multi,Which of the following actions appear in this video?,Stretching,Wiping surface,Checking the time,Writing,BC,user16
training_1238,HAU,HAU/user16/6-2-3,multi,Which of the following actions appear in this video?,Calling,Wiping surface,Grabbing utensils,Using a phone,BCD,user16
training_1239,HAU,HAU/user16/7-1-1,multi,Which of the following actions appear in this video?,Massaging oneself,Getting dressed,Folding clothes,Sitting down,AD,user16
training_1240,HAU,HAU/user16/7-1-2,multi,Which of the following actions appear in this video?,Massaging oneself,Reading,Combing hair,Sitting down,AD,user16
training_1241,HAU,HAU/user16/7-1-3,multi,Which of the following actions appear in this video?,Mopping,Watching TV,Sitting down,Getting dressed,C,user16
training_1242,HAU,HAU/user16/7-2-1,multi,Which of the following actions appear in this video?,Turning a page,Pouring,Eating,Grabbing utensils,BCD,user16
training_1243,HAU,HAU/user16/7-2-2,multi,Which of the following actions appear in this video?,Grabbing utensils,Stirring,Using a phone,Pouring,ABD,user16
training_1244,HAU,HAU/user16/7-2-3,multi,Which of the following actions appear in this video?,Stirring,Pouring,Standing up,Eating,ABD,user16
training_1245,HAU,HAU/user16/7-3-1,multi,Which of the following actions appear in this video?,Washing face,Taking medicine,Checking the time,Drinking,C,user16
training_1246,HAU,HAU/user16/7-3-2,multi,Which of the following actions appear in this video?,Calling,Sitting down,Reading,Checking the time,BCD,user16
training_1247,HAU,HAU/user16/7-3-3,multi,Which of the following actions appear in this video?,Eating,Writing,Walking,Brushing teeth,C,user16
training_1248,HAU,HAU/user17/1-1-1,multi,Which of the following actions appear in this video?,Combing hair,Standing up,Lying down,Peeling fruit,A,user17
training_1249,HAU,HAU/user17/1-1-2,multi,Which of the following actions appear in this video?,Combing hair,Walking,Listening to the music with headphones,Watching TV,A,user17
training_1250,HAU,HAU/user17/1-1-3,multi,Which of the following actions appear in this video?,Squats,Brushing teeth,Combing hair,Getting dressed,BCD,user17
training_1251,HAU,HAU/user17/1-2-1,multi,Which of the following actions appear in this video?,Pouring,Walking,Stretching,Turning a page,AB,user17
training_1252,HAU,HAU/user17/1-2-2,multi,Which of the following actions appear in this video?,Turning a page,Taking a selfie,Checking the time,Washing face,BC,user17
training_1253,HAU,HAU/user17/1-2-3,multi,Which of the following actions appear in this video?,Washing dishes,Watching TV,Combing hair,Taking a selfie,D,user17
training_1254,HAU,HAU/user17/2-1-1,multi,Which of the following actions appear in this video?,Running,Reading,Stirring,Pouring,CD,user17
training_1255,HAU,HAU/user17/2-1-2,multi,Which of the following actions appear in this video?,Pouring,Grabbing utensils,Standing up,Stirring,ABD,user17
training_1256,HAU,HAU/user17/2-1-3,multi,Which of the following actions appear in this video?,Stirring,Pouring,Wiping hands,Grabbing utensils,ABD,user17
training_1257,HAU,HAU/user17/2-2-1,multi,Which of the following actions appear in this video?,Washing dishes,Wiping surface,Stirring,Sitting down,BCD,user17
training_1258,HAU,HAU/user17/2-2-2,multi,Which of the following actions appear in this video?,Getting dressed,Taking medicine,Folding clothes,Wiping surface,D,user17
training_1259,HAU,HAU/user17/2-2-3,multi,Which of the following actions appear in this video?,Stirring,Running,Combing hair,Lying down,AD,user17
training_1260,HAU,HAU/user17/3-1-1,multi,Which of the following actions appear in this video?,Using a phone,Combing hair,Sweeping,Peeling fruit,C,user17
training_1261,HAU,HAU/user17/3-1-2,multi,Which of the following actions appear in this video?,Sweeping,Sitting down,Eating,Stretching,AD,user17
training_1262,HAU,HAU/user17/3-1-3,multi,Which of the following actions appear in this video?,Jumping jacks,Sitting down,Sweeping,Watching TV,C,user17
training_1263,HAU,HAU/user17/3-2-1,multi,Which of the following actions appear in this video?,Walking,Combing hair,Washing dishes,Grabbing utensils,ACD,user17
training_1264,HAU,HAU/user17/3-2-2,multi,Which of the following actions appear in this video?,Taking a selfie,Walking,Getting dressed,Sitting down,B,user17
training_1265,HAU,HAU/user17/3-2-3,multi,Which of the following actions appear in this video?,Getting dressed,Walking,Typing on a keyboard,Brushing teeth,B,user17
training_1266,HAU,HAU/user17/3-3-1,multi,Which of the following actions appear in this video?,Wiping surface,Wiping hands,Standing up,Walking,AD,user17
training_1267,HAU,HAU/user17/3-3-2,multi,Which of the following actions appear in this video?,Pouring,Washing dishes,Walking,Sweeping,C,user17
training_1268,HAU,HAU/user17/3-3-3,multi,Which of the following actions appear in this video?,Washing face,Undressing,Jumping jacks,Wiping surface,D,user17
training_1269,HAU,HAU/user17/4-1-1,multi,Which of the following actions appear in this video?,Reading,Checking body temperature,Jumping jacks,Walking,ABD,user17
training_1270,HAU,HAU/user17/4-1-2,multi,Which of the following actions appear in this video?,Using a phone,Checking the time,Taking medicine,Wiping surface,BC,user17
training_1271,HAU,HAU/user17/4-1-3,multi,Which of the following actions appear in this video?,Sweeping,Calling,Watching TV,Typing on a keyboard,D,user17
training_1272,HAU,HAU/user17/5-1-1,multi,Which of the following actions appear in this video?,Jumping jacks,Getting dressed,Watching TV,Standing up,C,user17
training_1273,HAU,HAU/user17/5-1-2,multi,Which of the following actions appear in this video?,Walking,Undressing,Watching TV,Wiping hands,BC,user17
training_1274,HAU,HAU/user17/5-1-3,multi,Which of the following actions appear in this video?,Undressing,Watching TV,Playing games,Listening to the music with headphones,AB,user17
training_1275,HAU,HAU/user17/5-2-1,multi,Which of the following actions appear in this video?,Pouring,Folding clothes,Stirring,Eating,ACD,user17
training_1276,HAU,HAU/user17/5-2-2,multi,Which of the following actions appear in this video?,Pouring,Stretching,Brushing teeth,Walking,AD,user17
training_1277,HAU,HAU/user17/5-2-3,multi,Which of the following actions appear in this video?,Pouring,Sitting down,Stirring,Walking,ACD,user17
training_1278,HAU,HAU/user17/5-3-1,multi,Which of the following actions appear in this video?,Grabbing utensils,Sitting down,Using a phone,Watching TV,AB,user17
training_1279,HAU,HAU/user17/5-3-2,multi,Which of the following actions appear in this video?,Listening to the music with headphones,Sitting down,Eating,Getting dressed,BC,user17
training_1280,HAU,HAU/user17/5-3-3,multi,Which of the following actions appear in this video?,Checking the time,Grabbing utensils,Sitting down,Playing games,BC,user17
training_1281,HAU,HAU/user17/6-1-1,multi,Which of the following actions appear in this video?,Undressing,Folding clothes,Washing dishes,Getting dressed,ABD,user17
training_1282,HAU,HAU/user17/6-1-2,multi,Which of the following actions appear in this video?,Getting dressed,Washing dishes,Lying down,Folding clothes,AD,user17
training_1283,HAU,HAU/user17/6-1-3,multi,Which of the following actions appear in this video?,Massaging oneself,Getting dressed,Taking a selfie,Checking body temperature,B,user17
training_1284,HAU,HAU/user17/6-2-1,multi,Which of the following actions appear in this video?,Massaging oneself,Wiping surface,Listening to the music with headphones,Mopping,C,user17
training_1285,HAU,HAU/user17/6-2-2,multi,Which of the following actions appear in this video?,Listening to the music with headphones,Watching TV,Lying down,Typing on a keyboard,A,user17
training_1286,HAU,HAU/user17/6-2-3,multi,Which of the following actions appear in this video?,Folding clothes,Wiping hands,Massaging oneself,Listening to the music with headphones,D,user17
training_1287,HAU,HAU/user17/6-3-1,multi,Which of the following actions appear in this video?,Walking,Sweeping,Folding clothes,Running,A,user17
training_1288,HAU,HAU/user17/6-3-2,multi,Which of the following actions appear in this video?,Checking the time,Walking,Sitting down,Undressing,ABC,user17
training_1289,HAU,HAU/user17/6-3-3,multi,Which of the following actions appear in this video?,Sitting down,Listening to the music with headphones,Walking,Typing on a keyboard,ACD,user17
training_1290,HAU,HAU/user17/7-1-1,multi,Which of the following actions appear in this video?,Undressing,Combing hair,Taking a selfie,Checking body temperature,D,user17
training_1291,HAU,HAU/user17/7-1-2,multi,Which of the following actions appear in this video?,Sitting down,Checking body temperature,Listening to the music with headphones,Drinking,ABC,user17
training_1292,HAU,HAU/user17/7-1-3,multi,Which of the following actions appear in this video?,Listening to the music with headphones,Checking body temperature,Eating,Sitting down,ABD,user17
training_1293,HAU,HAU/user17/7-2-1,multi,Which of the following actions appear in this video?,Peeling fruit,Playing games,Wiping hands,Reading,AC,user17
training_1294,HAU,HAU/user17/7-2-2,multi,Which of the following actions appear in this video?,Listening to the music with headphones,Reading,Eating,Typing on a keyboard,C,user17
training_1295,HAU,HAU/user17/7-2-3,multi,Which of the following actions appear in this video?,Checking body temperature,Playing games,Washing dishes,Peeling fruit,D,user17
training_1296,HAU,HAU/user18/1-1-1,multi,Which of the following actions appear in this video?,Sweeping,Brushing teeth,Mopping,Lying down,B,user18
training_1297,HAU,HAU/user18/1-1-2,multi,Which of the following actions appear in this video?,Lunges,Brushing teeth,Reading,Massaging oneself,B,user18
training_1298,HAU,HAU/user18/1-1-3,multi,Which of the following actions appear in this video?,Walking,Eating,Brushing teeth,Sitting down,AC,user18
training_1299,HAU,HAU/user18/1-2-1,multi,Which of the following actions appear in this video?,Reading,Listening to the music with headphones,Walking,Mopping,ABC,user18
training_1300,HAU,HAU/user18/1-2-2,multi,Which of the following actions appear in this video?,Reading,Walking,Massaging oneself,Lying down,AB,user18
training_1301,HAU,HAU/user18/1-2-3,multi,Which of the following actions appear in this video?,Walking,Lying down,Sitting down,Stirring,AC,user18
training_1302,HAU,HAU/user18/2-1-1,multi,Which of the following actions appear in this video?,Wiping surface,Listening to the music with headphones,Checking the time,Writing,BC,user18
training_1303,HAU,HAU/user18/2-1-2,multi,Which of the following actions appear in this video?,Checking the time,Wiping surface,Folding clothes,Listening to the music with headphones,ACD,user18
training_1304,HAU,HAU/user18/2-1-3,multi,Which of the following actions appear in this video?,Walking,Taking a selfie,Checking the time,Calling,CD,user18
training_1305,HAU,HAU/user18/2-2-1,multi,Which of the following actions appear in this video?,Typing on a keyboard,Walking,Wiping surface,Lunges,BC,user18
training_1306,HAU,HAU/user18/2-2-2,multi,Which of the following actions appear in this video?,Stirring,Washing dishes,Wiping surface,Walking,CD,user18
training_1307,HAU,HAU/user18/2-2-3,multi,Which of the following actions appear in this video?,Wiping surface,Stirring,Getting dressed,Walking,AD,user18
training_1308,HAU,HAU/user18/3-1-1,multi,Which of the following actions appear in this video?,Pouring,Mopping,Sweeping,Sitting down,BC,user18
training_1309,HAU,HAU/user18/3-1-2,multi,Which of the following actions appear in this video?,Reading,Sweeping,Walking,Mopping,BD,user18
training_1310,HAU,HAU/user18/3-1-3,multi,Which of the following actions appear in this video?,Sweeping,Undressing,Peeling fruit,Checking body temperature,A,user18
training_1311,HAU,HAU/user18/3-2-1,multi,Which of the following actions appear in this video?,Stirring,Brushing teeth,Calling,Washing dishes,AD,user18
training_1312,HAU,HAU/user18/3-2-2,multi,Which of the following actions appear in this video?,Sitting down,Running,Washing dishes,Stirring,CD,user18
training_1313,HAU,HAU/user18/3-2-3,multi,Which of the following actions appear in this video?,Listening to the music with headphones,Playing games,Typing on a keyboard,Washing dishes,D,user18
training_1314,HAU,HAU/user18/3-3-1,multi,Which of the following actions appear in this video?,Standing up,Undressing,Walking,Wiping surface,CD,user18
training_1315,HAU,HAU/user18/3-3-2,multi,Which of the following actions appear in this video?,Lying down,Wiping surface,Folding clothes,Walking,BD,user18
training_1316,HAU,HAU/user18/3-3-3,multi,Which of the following actions appear in this video?,Wiping hands,Watching TV,Walking,Combing hair,C,user18
training_1317,HAU,HAU/user18/4-1-1,multi,Which of the following actions appear in this video?,Turning a page,Reading,Lying down,Massaging oneself,AB,user18
training_1318,HAU,HAU/user18/4-1-2,multi,Which of the following actions appear in this video?,Listening to the music with headphones,Reading,Turning a page,Massaging oneself,ABC,user18
training_1319,HAU,HAU/user18/4-1-3,multi,Which of the following actions appear in this video?,Walking,Mopping,Sitting down,Wiping hands,AC,user18
training_1320,HAU,HAU/user18/4-2-1,multi,Which of the following actions appear in this video?,Brushing teeth,Peeling fruit,Pouring,Sitting down,BC,user18
training_1321,HAU,HAU/user18/4-2-2,multi,Which of the following actions appear in this video?,Pouring,Squats,Wiping surface,Jumping jacks,A,user18
training_1322,HAU,HAU/user18/4-2-3,multi,Which of the following actions appear in this video?,Pouring,Brushing teeth,Walking,Checking the time,AC,user18
training_1323,HAU,HAU/user18/5-1-1,multi,Which of the following actions appear in this video?,Taking medicine,Typing on a keyboard,Using a phone,Standing up,BD,user18
training_1324,HAU,HAU/user18/5-1-2,multi,Which of the following actions appear in this video?,Drinking,Running,Stretching,Pouring,BC,user18
training_1325,HAU,HAU/user18/5-1-3,multi,Which of the following actions appear in this video?,Typing on a keyboard,Wiping hands,Lunges,Jumping jacks,AC,user18
training_1326,HAU,HAU/user18/6-1-1,multi,Which of the following actions appear in this video?,Playing games,Squats,Taking a selfie,Drinking,B,user18
training_1327,HAU,HAU/user18/6-1-2,multi,Which of the following actions appear in this video?,Peeling fruit,Massaging oneself,Calling,Undressing,D,user18
training_1328,HAU,HAU/user18/6-1-3,multi,Which of the following actions appear in this video?,Stretching,Undressing,Listening to the music with headphones,Getting dressed,ABD,user18
training_1329,HAU,HAU/user18/6-2-1,multi,Which of the following actions appear in this video?,Brushing teeth,Calling,Peeling fruit,Writing,CD,user18
training_1330,HAU,HAU/user18/6-2-2,multi,Which of the following actions appear in this video?,Running,Walking,Massaging oneself,Stretching,BD,user18
training_1331,HAU,HAU/user18/6-2-3,multi,Which of the following actions appear in this video?,Wiping hands,Massaging oneself,Standing up,Peeling fruit,CD,user18
training_1332,HAU,HAU/user18/7-1-1,multi,Which of the following actions appear in this video?,Undressing,Eating,Wiping surface,Taking medicine,AD,user18
training_1333,HAU,HAU/user18/7-1-2,multi,Which of the following actions appear in this video?,Undressing,Lying down,Standing up,Taking medicine,AD,user18
training_1334,HAU,HAU/user18/7-1-3,multi,Which of the following actions appear in this video?,Stretching,Peeling fruit,Grabbing utensils,Washing face,D,user18
training_1335,HAU,HAU/user18/7-2-1,multi,Which of the following actions appear in this video?,Folding clothes,Squats,Checking body temperature,Stirring,D,user18
training_1336,HAU,HAU/user18/7-2-2,multi,Which of the following actions appear in this video?,Eating,Taking medicine,Turning a page,Running,AB,user18
training_1337,HAU,HAU/user18/7-2-3,multi,Which of the following actions appear in this video?,Peeling fruit,Reading,Stirring,Taking medicine,ACD,user18
training_1338,HAU,HAU/user19/1-1-1,multi,Which of the following actions appear in this video?,Combing hair,Stretching,Taking medicine,Taking a selfie,AB,user19
training_1339,HAU,HAU/user19/1-1-2,multi,Which of the following actions appear in this video?,Stirring,Stretching,Checking the time,Taking a selfie,B,user19
training_1340,HAU,HAU/user19/1-1-3,multi,Which of the following actions appear in this video?,Wiping hands,Stirring,Jumping jacks,Mopping,A,user19
training_1341,HAU,HAU/user19/1-2-1,multi,Which of the following actions appear in this video?,Typing on a keyboard,Wiping surface,Getting dressed,Sitting down,AD,user19
training_1342,HAU,HAU/user19/1-2-2,multi,Which of the following actions appear in this video?,Listening to the music with headphones,Walking,Sitting down,Standing up,ABC,user19
training_1343,HAU,HAU/user19/1-2-3,multi,Which of the following actions appear in this video?,Taking a selfie,Watching TV,Walking,Listening to the music with headphones,CD,user19
training_1344,HAU,HAU/user19/2-1-1,multi,Which of the following actions appear in this video?,Calling,Stirring,Pouring,Lying down,BC,user19
training_1345,HAU,HAU/user19/2-1-2,multi,Which of the following actions appear in this video?,Folding clothes,Listening to the music with headphones,Stirring,Using a phone,C,user19
training_1346,HAU,HAU/user19/2-1-3,multi,Which of the following actions appear in this video?,Washing face,Wiping surface,Grabbing utensils,Stretching,C,user19
training_1347,HAU,HAU/user19/2-2-1,multi,Which of the following actions appear in this video?,Walking,Peeling fruit,Combing hair,Lying down,A,user19
training_1348,HAU,HAU/user19/2-2-2,multi,Which of the following actions appear in this video?,Jumping jacks,Walking,Combing hair,Squats,ABD,user19
training_1349,HAU,HAU/user19/2-2-3,multi,Which of the following actions appear in this video?,Combing hair,Washing face,Walking,Getting dressed,C,user19
training_1350,HAU,HAU/user19/2-3-1,multi,Which of the following actions appear in this video?,Peeling fruit,Wiping hands,Walking,Playing games,AC,user19
training_1351,HAU,HAU/user19/2-3-2,multi,Which of the following actions appear in this video?,Walking,Peeling fruit,Massaging oneself,Sweeping,AB,user19
training_1352,HAU,HAU/user19/2-3-3,multi,Which of the following actions appear in this video?,Walking,Listening to the music with headphones,Peeling fruit,Folding clothes,AC,user19
training_1353,HAU,HAU/user19/3-1-1,multi,Which of the following actions appear in this video?,Undressing,Playing games,Folding clothes,Walking,AB,user19
training_1354,HAU,HAU/user19/3-1-2,multi,Which of the following actions appear in this video?,Lying down,Stirring,Combing hair,Playing games,D,user19
training_1355,HAU,HAU/user19/3-1-3,multi,Which of the following actions appear in this video?,Stirring,Pouring,Sitting down,Playing games,D,user19
training_1356,HAU,HAU/user19/3-2-1,multi,Which of the following actions appear in this video?,Walking,Stirring,Drinking,Taking medicine,ABC,user19
training_1357,HAU,HAU/user19/3-2-2,multi,Which of the following actions appear in this video?,Walking,Taking medicine,Drinking,Stirring,ACD,user19
training_1358,HAU,HAU/user19/3-2-3,multi,Which of the following actions appear in this video?,Undressing,Wiping hands,Drinking,Pouring,CD,user19
training_1359,HAU,HAU/user19/3-3-1,multi,Which of the following actions appear in this video?,Lunges,Jumping jacks,Squats,Turning a page,C,user19
training_1360,HAU,HAU/user19/3-3-2,multi,Which of the following actions appear in this video?,Listening to the music with headphones,Squats,Peeling fruit,Mopping,ABD,user19
training_1361,HAU,HAU/user19/3-3-3,multi,Which of the following actions appear in this video?,Squats,Taking a selfie,Pouring,Walking,AD,user19
training_1362,HAU,HAU/user19/4-1-1,multi,Which of the following actions appear in this video?,Checking the time,Reading,Sweeping,Typing on a keyboard,ABD,user19
training_1363,HAU,HAU/user19/4-1-2,multi,Which of the following actions appear in this video?,Using a phone,Washing face,Walking,Reading,D,user19
training_1364,HAU,HAU/user19/4-1-3,multi,Which of the following actions appear in this video?,Using a phone,Checking the time,Taking medicine,Calling,B,user19
training_1365,HAU,HAU/user19/4-2-1,multi,Which of the following actions appear in this video?,Stretching,Walking,Checking body temperature,Sitting down,AB,user19
training_1366,HAU,HAU/user19/4-2-2,multi,Which of the following actions appear in this video?,Using a phone,Brushing teeth,Reading,Squats,D,user19
training_1367,HAU,HAU/user19/4-2-3,multi,Which of the following actions appear in this video?,Stretching,Checking the time,Walking,Washing dishes,AC,user19
training_1368,HAU,HAU/user19/4-3-1,multi,Which of the following actions appear in this video?,Typing on a keyboard,Listening to the music with headphones,Walking,Sitting down,ACD,user19
training_1369,HAU,HAU/user19/4-3-2,multi,Which of the following actions appear in this video?,Wiping surface,Listening to the music with headphones,Standing up,Walking,D,user19
training_1370,HAU,HAU/user19/4-3-3,multi,Which of the following actions appear in this video?,Checking body temperature,Sitting down,Brushing teeth,Lunges,B,user19
training_1371,HAU,HAU/user19/5-1-1,multi,Which of the following actions appear in this video?,Playing games,Checking body temperature,Standing up,Taking medicine,AC,user19
training_1372,HAU,HAU/user19/5-1-2,multi,Which of the following actions appear in this video?,Peeling fruit,Taking medicine,Standing up,Listening to the music with headphones,CD,user19
training_1373,HAU,HAU/user19/5-1-3,multi,Which of the following actions appear in this video?,Stretching,Wiping surface,Brushing teeth,Listening to the music with headphones,D,user19
training_1374,HAU,HAU/user19/5-2-1,multi,Which of the following actions appear in this video?,Taking a selfie,Stretching,Wiping hands,Typing on a keyboard,C,user19
training_1375,HAU,HAU/user19/5-2-2,multi,Which of the following actions appear in this video?,Wiping hands,Using a phone,Getting dressed,Peeling fruit,AD,user19
training_1376,HAU,HAU/user19/5-2-3,multi,Which of the following actions appear in this video?,Writing,Playing games,Getting dressed,Peeling fruit,D,user19
training_1377,HAU,HAU/user19/5-3-1,multi,Which of the following actions appear in this video?,Massaging oneself,Stretching,Taking medicine,Eating,A,user19
training_1378,HAU,HAU/user19/5-3-2,multi,Which of the following actions appear in this video?,Taking a selfie,Getting dressed,Checking the time,Peeling fruit,C,user19
training_1379,HAU,HAU/user19/5-3-3,multi,Which of the following actions appear in this video?,Playing games,Wiping hands,Walking,Massaging oneself,ACD,user19
training_1380,HAU,HAU/user19/6-1-1,multi,Which of the following actions appear in this video?,Listening to the music with headphones,Running,Sweeping,Reading,D,user19
training_1381,HAU,HAU/user19/6-1-2,multi,Which of the following actions appear in this video?,Lying down,Mopping,Sitting down,Reading,CD,user19
training_1382,HAU,HAU/user19/6-1-3,multi,Which of the following actions appear in this video?,Turning a page,Typing on a keyboard,Sitting down,Taking medicine,ABC,user19
training_1383,HAU,HAU/user19/6-2-1,multi,Which of the following actions appear in this video?,Checking body temperature,Taking medicine,Lying down,Combing hair,ABC,user19
training_1384,HAU,HAU/user19/6-2-2,multi,Which of the following actions appear in this video?,Watching TV,Lying down,Taking medicine,Taking a selfie,BCD,user19
training_1385,HAU,HAU/user19/6-2-3,multi,Which of the following actions appear in this video?,Taking medicine,Drinking,Grabbing utensils,Playing games,AD,user19
training_1386,HAU,HAU/user19/7-1-1,multi,Which of the following actions appear in this video?,Combing hair,Massaging oneself,Checking body temperature,Eating,BC,user19
training_1387,HAU,HAU/user19/7-1-2,multi,Which of the following actions appear in this video?,Taking medicine,Drinking,Massaging oneself,Checking body temperature,ACD,user19
